Project Tag,Seniority,n_registros,prob_mejorar,prob_empeorar,engagement_estacionario,group,Position,Location
CATPRO,Sr Level 3,126,0.348018648018648,0.0820814479638009,4.539858906525573,top5_proj_sen,,
ODYQST,Jr,126,0.4430622009569377,0.0466965285554311,4.48,top5_proj_sen,,
HOREXP,Sr Level 3,124,0.3464285714285714,0.1538480885311871,4.1382113821138145,top5_proj_sen,,
ECOSYS,Sr Level 1,126,0.2574074074074074,0.1777777777777777,3.890459639942203,top5_proj_sen,,
ECOSYS,Jr,123,0.2441958041958042,0.0780484631647422,3.5964010282776355,top5_proj_sen,,
HOREXP,Jr,126,0.1154548974061169,0.0805054024566219,2.2256857855361583,bottom5_proj_sen,,
VGRDIN,Sr Level 2,246,0.198926312460468,0.4258886780518659,2.2150216213331895,bottom5_proj_sen,,
ATLINT,Ssr,742,0.1173210303554362,0.2810096824117775,2.100077998794426,bottom5_proj_sen,,
ECOSYS,Ssr,246,0.202601076434174,0.20722187865045,2.0723385361521935,bottom5_proj_sen,,
ODYQST,Ssr,252,0.0753869154170176,0.1371514843050622,2.0180281690140833,bottom5_proj_sen,,
CATPRO,Sr Level 2,147,0.2793040293040293,0.1580182529335072,5.0,top5_combo,Data Analyst,AR/CABA/BA
CATPRO,Sr Level 1,68,0.0,0.0029850746268656,4.985074626865672,top5_combo,Visual Designer,CO/CUN/BOG
HOREXP,Sr Level 1,126,0.1,0.1036697247706422,4.599088838268798,top5_combo,Project Manager,CL/RM/SCL
VGRDIN,Ssr,126,0.3352272727272727,0.1598526473526473,4.503661191371463,top5_combo,Business Analyst,CO/CUN/BOG
ODYQST,Jr,126,0.4430622009569377,0.0466965285554311,4.48,top5_combo,Business Analyst,CL/RM/SCL
STYPRJ,Sr Level 2,126,0.0974120082815735,0.1702380952380952,1.1769420468557328,bottom5_combo,Business Analyst,MX/CDMX/CDMX
ATLINT,Ssr,104,0.0792207792207792,0.3763636363636363,1.1129744042365406,bottom5_combo,Project Manager,CO/CUN/BOG
ECOSYS,Ssr,120,0.0021505376344086,0.1571428571428571,1.03125,bottom5_combo,Quality Assurance Tester,MX/CDMX/CDMX
CATPRO,Ssr,55,0.0,0.0915151515151515,1.0,bottom5_combo,Visual Designer,AR/CABA/BA
NEXDEV,Ssr,72,0.0,0.1471428571428571,1.0,bottom5_combo,Software Developer,CL/RM/SCL
